EpochTime,skewed_latitude,skewed_longitude,smell_value,smell_description,feelings_symptoms,additional_comments,zipcode
1470419067,40.4558,-79.9807,4,Diesel and dust.,hard to breathe in this,,15222
1470436745,40.4512,-79.9168,3,thick like exhaust,dry throat,,15206
1470453614,40.4292,-79.8832,5,does skunk count? made it way through air conditioners,,,15218
1470498330,40.448,-79.9156,3,very strange smell I'm not familiar with,,,15206
1470748897,40.442,-80.0005,3,sulfur.  se winds. ,,,15222
1470760424,40.4207,-79.927,2,mild industrial odor in the air. ,,,15217
1470801188,40.422,-79.925,3,"slight combustion smell. industrial. not normal Coke plant smell, but close.",,,15217
1470830409,40.4284,-79.8827,2,Humid morning air has an industrial edge to it. Unpleasant. County airport reports South winds all night.,,,15218
1470836778,40.4471,-79.9167,1,,,,15206
1470846917,40.4518,-79.986,3,dirt and diesel,,,15222
1471279749,40.4282,-79.8826,3,"Coal Tar smell currenty, no wind. Had high particle counts earlier in morning but no clearly definable smell.  Seemed corrosive in nature. That has since cleared.",,,15218
1471281214,40.4546,-79.9836,4,diesel exhaust,,,15222
1471608838,40.4329,-79.9301,3,sulphur ,,,15217
1471609453,40.4635,-79.9349,3,,,,15206
1471610331,40.4209,-79.9261,4,acrid industrial smell,,,15217
1471611949,40.4463,-79.9156,3,smells acrid like coal smoke,,,15206
1471611982,40.4634,-79.9335,4,Industrial fumes with light vehicle emissions. very very hazy. ,,,15206
1471628503,40.4288,-79.8853,3,"A late entry, when morning fog lifted odor became more apparent, 7:00 fog 9:00 industrial odor.",,,15218
1471652872,40.4461,-79.9147,1,,,,15208
1471693994,40.4274,-79.8834,3,Stale coal smell.,,,15218
1471694652,40.4705,-79.9256,2,,,,15206
1471952759,40.433,-79.9274,4,acrid,,,15217
1471955797,40.4475,-79.9148,2,a little coal smoke in the air,,,15206
1471958929,40.4467,-79.9172,3,stinks of coal. worse than I thought earlier,,,15206
1471959678,40.452,-79.9057,3,Metallic,,,15208
1471961752,40.4267,-79.8852,3,"Sulfur odor increasing, no wind here, county airport indicates light south.",,,15218
1472040498,40.4335,-79.9276,5,acrid industrial ,,,15217
1472045424,40.4512,-79.9045,3,Metallic ,,,15208
1472045429,40.4539,-79.9059,3,Metallic ,,,15208
1472046527,40.4279,-79.8832,2,"Light smell of coal, expected worse. No wind but county airport reports light see wind.",,,15218
1472052295,40.4514,-79.9845,4,The diesel is so strong walking down Penn Ave. that it's hard to breathe.,,,15222
1472060164,40.4459,-79.9584,3,,,,15213
1472299720,40.4466,-79.9182,1,,,,15206
1472329708,40.4307,-79.9107,3,pollution smell in Frick Park,,,15217
1472388198,40.4519,-79.9053,3,Metallic,,,15208
1472390007,40.433,-79.9261,5,acrid. industrial. ,,,15217
1472559424,40.4496,-79.917,1,,,,15206
1472642076,40.4348,-79.9295,5,"acrid, industrial",,,15217
1472643082,40.4693,-79.92530000000001,4,"slight burning, industrial smell. small particulate meter is at very elevated level. ",,,15206
1472643617,40.4263,-79.8829,4,Can now smell Clairton. No wind here but county airport reports see.,Early morning awakening.,,15218
1472643651,40.4644,-79.9205,5,horrendous sulfuric Coke smell at and infiltrating my toddler's daycare in East Liberty,,,15206
1472644324,40.453,-79.9049,3,Metallic,,,15208
1472644730,40.4289,-79.9558,3,,,,15213
1472644840,40.4205,-79.9262,4,sooty industrial smell,tickle in throat,,15217
1472645343,40.4442,-79.9443,3,,,,15213
1472646007,40.4474,-79.9166,5,Very strong smell which reeks of coal.,,,15206
1472646713,40.4455,-79.9436,4,,,,15213
1472646920,40.4694,-79.9153,5,industry,,,15206
1472647472,40.4446,-79.9511,4,Ashy,,,15213
1472647480,40.4442,-79.948,4,Ashy,,,15213
1472647491,40.435,-79.8777,4,a familiar smoke smell,,,15218
1472647542,40.4548,-79.9469,3,industrial,,,15213
1472648181,40.4578,-79.9234,3,"plastic like, burning",,,15206
1472649189,40.4471,-79.9165,5,,,,15206
1472649279,40.4289,-79.9553,4,,,,15213
1472649346,40.4266,-79.884,5,Smell is really strong now. No wind here. PM peaked at 205ug/m3!!!,Avoiding outdoor activity,,15218
1472651024,40.4632,-79.9316,4,,Shortness of breath. ,,15206
1472651157,40.4466,-79.8605,5,Strong coal smell.,,,15221
1472654624,40.447,-79.916,5,sulfur,2:00 am. lungs and nostrils burn and head hurts ,,15208
1472680127,40.4471,-79.9155,1,,,,15208
1472732272,40.4462,-79.9499,1,,,,15213
1472733756,40.4394,-80.0038,1,,,,15222
1472734435,40.4528,-79.9141,1,,,,15206
1472746292,40.4209,-79.9263,1,,,,15217
1472912768,40.4475,-79.9167,1,,,,15206
1473060580,40.4201,-79.9181,5,sulfur,"Woke me up out of a deep sleep, and my windows are closed",,15217
1473086841,40.4287,-79.8839,3,Coal smell no wind here but county airport reports generally SE,,,15218
1473102952,40.4209,-79.9227,2,slight industrial combustion smell all morning. ,,,15217
1473155810,40.4206,-79.9239,5,"n*sty, strong acrid industrial smell woke me up.",stuffy nose,,15217
1473160788,40.447,-79.9152,5,Acrid coal smell.,,,15206
1473160996,40.4694,-79.9257,4,same industrial smell as always. PM2.5 counts above 5000.,,,15206
1473161941,40.4303,-79.9551,4,,,,15213
1473163606,40.4489,-79.9156,4,sulfur and metallic also like something is burning,nasal passage discomfort and upper respiratory ,,15208
1473163708,40.4542,-79.9422,4,,,,15213
1473163751,40.4519,-79.9441,4,,,,15213
1473163797,40.4531,-79.9461,4,sulfur metal ,se wind ,,15213
1473163978,40.4442,-79.9482,4,"Ashy, like something burning ",,,15213
1473165598,40.4241,-79.9192,3,,,,15217
1473165883,40.4438,-79.9495,4,"Ashy, like something burning ","Eye irritation, shortness of breath",,15213
1473165981,40.4613,-79.9312,4,industrial smell in Friendship too ,,,15206
1473167836,40.4555,-79.981,4,acrid. coal and diesel,,,15222
1473169276,40.4538,-79.9052,3,Metallic industrial odor,,,15208
1473171595,40.4285,-79.9183,4,industrial,,,15217
1473281017,40.457,-79.9805,3,,,,15222
1473426892,40.4628,-79.956,3,,,,15224
1473595858,40.4474,-79.915,1,,,,15206
1473613868,40.4645,-79.978,4,Sewage ,,,15222
1473613906,40.4571,-79.979,1,,rr3,,15222
1473613906,40.4567,-79.9789,1,,rr3,,15222
1473624641,40.4487,-79.9125,1,,,,15208
1473688255,40.4326,-79.8782,1,,,,15218
1473693691,40.4432,-79.9267,2,,,,15217
1473695078,40.4557,-79.9828,3,,,,15222
1473695962,40.4408,-80.0006,2,industrial sulfur. winds from SE at 7 mph ,,,15222
1473724849,40.4568,-79.939,3,"Sulfur smell, rotten eggs",Na,,15224
1473767101,40.4335,-79.9281,3,industrial,,,15217
1473767357,40.4215,-79.924,4,"n*sty, acrid, industrial coking smell. My Awair device sensed high VOC's at around 3 and 5am.","stuffy nose, but not stuffy enough to block the smell.",,15217
1473768342,40.4695,-79.9244,3,,,,15206
1473769592,40.4613,-79.9201,3,,,,15206
1473769660,40.4217,-79.9213,3,sulfur,,,15217
1473770422,40.427,-79.8854,3,Clairton coke plant. No wind here but co. airport reports S 7mph last 3 hrs.,,,15218
1473834728,40.4218,-79.926,5,"Horrible, acrid, industrial burning smell. Awair device shows VOC's are higher than last night!",,,15217
1473843990,40.4287,-79.8849,4,"Awakened to smell of sulfur coming into house. No wind here, co. airport had S winds but is now still.",Awakening.,,15218
1473846678,40.4493,-79.9101,3,,,,15208
1473850286,40.4706,-79.9254,5,heavy Coke smell streaming through windows,,,15206
1473852523,40.4326,-79.8757,5,,,,15218
1473853950,40.4466,-79.9174,3,burnt coal smell,,,15206
1473854223,40.4512,-79.9145,4,burning metal,headache,,15206
1473855868,40.4502,-79.9413,3,sulfur,,,15232
1473856011,40.423,-79.9206,4,,,,15217
1473856113,40.4439,-79.9462,3,,,,15213
1473856718,40.4482,-79.9153,4,acrid,coughing ,,15206
1473896395,40.4492,-79.9115,1,,,,15208
1473940970,40.4493,-79.9159,1,nice clean smelling air this morning!,,,15206
1473944196,40.427,-79.8828,1,Ideal,,,15218
1473948100,40.4547,-79.9808,4,diesel exhaust,,,15222
1473990056,40.423,-79.9255,1,air smells fresh and clean,delight,,15217
1474032690,40.448,-79.9138,1,,,,15206
1474034607,40.4558,-79.9831,4,diesel exhaust,"diesel so thick, it's hard to breathe",,15222
1474035202,40.4282,-79.8855,2,Acrid,,,15218
1474039733,40.4298,-79.9137,2,slightly sour,,,15217
1474045444,40.422,-79.9255,3,Slightly acidic and metallic aroma. My Awair sensor showed slightly elevated VOC's,,,15217
1474110593,40.4684,-79.9256,3,Coke pollution,,,15206
1474163164,40.4224,-79.923,3,metallic smoky smell. slight uptick of VOC's on the Awair. In the 300's.,,,15217
1474164351,40.4487,-79.9169,3,,,,15206
1474207068,40.446,-79.9032,1,,,,15208
1474217057,40.421,-79.9259,1,,,,15217
1474371080,40.4488,-79.9159,4,ammonia? bleach?,cough,,15208
1474377177,40.4478,-79.9166,1,,,,15206
1474385399,40.4277,-79.8839,3,"Mixxed wood and coal, no wind last 3hrs., PM and CO2 levels high",Smelled it while working outside.  Not pleasant. Gone inside for the time being.,,15218
1474457827,40.4485,-79.9141,1,,,,15206
1474489198,40.4425,-79.9461,1,,,,15213
1474494359,40.4438,-79.9448,1,Android test,,,15213
1474495914,40.4556,-79.9806,3,,,,15222
1474630310,40.4686,-79.9243,3,7:30am pollution smell slowly getting stronger. small particle counts increasing from low 2000s to mid/high 2000s,,,15206
1474631698,40.4524,-79.9433,5,sulfur metal,yes,,15213
1474632104,40.461,-79.9385,3,"Light sulfur, tar",,,15232
1474632270,40.4303,-79.9565,3,,,,15213
1474632821,40.451,-79.9386,4,,,,15232
1474632854,40.4579,-79.9314,4,,,,15206
1474632881,40.4205,-79.9261,5,"amazingly bad smell. industrial, sulphur. HORRIBLE!!",Anger. Violated.,,15217
1474633148,40.4686,-79.9265,4,industrial pollution. ,,,15206
1474633168,40.4493,-79.9123,3,,,,15208
1474633623,40.4304,-79.9541,4,,,,15213
1474633873,40.4632,-79.9607,3,,,,15224
1474634838,40.4509,-79.982,2,,,,15222
1474635696,40.4639,-79.9326,5,,,,15206
1474635892,40.4275,-79.8842,3,Clairton coal smell.,,,15218
1474635970,40.4597,-79.925,3,sulfur,,,15206
1474636950,40.4635,-79.9595,4,,,,15224
1474640449,40.4479,-79.9163,4,acrid coal like smell,,,15206
1474640570,40.4559,-79.98,3,,,,15222
1474807688,40.4463,-79.9167,1,,,,15206
1474810158,40.4218,-79.9229,1,lovely! clean air!,happy,,15217
1474893179,40.4215,-79.9185,5,sulfur,,,15217
1474896758,40.4324,-79.9239,4,,,,15217
1474898892,40.4545,-79.9826,3,diesel and dust,,,15222
1474983025,40.4484,-79.9177,1,,,,15206
1475023840,40.4294,-79.9147,1,,,,15217
1475024326,40.4283,-79.9157,1,,,,15217
1475027244,40.4494,-79.9168,2,"coal smell, faint",,,15206
1475035060,40.469,-79.9271,3,,,,15206
1475077651,40.4518,-79.9091,2,Damp wood,,,15208
1475078587,40.4311,-79.9695,1,,,,15219
1475084481,40.4423,-79.9457,1,,,,15213
1475088003,40.4558,-79.982,2,Diesel and dust.,,,15222
1475093216,40.4325,-79.8921,1,,,,15218
1475104090,40.4388,-79.8741,3,,,,15221
1475104107,40.4408,-79.8752,3,,,,15221
1475107725,40.437,-79.9228,1,,,,15217
1475113147,40.4292,-79.956,1,,,,15213
1475116108,40.4528,-79.9293,1,,,,15232
1475118841,40.4306,-79.9237,1,,,,15217
1475119739,40.4717,-79.964,1,,,,15201
1475153272,40.4658,-79.923,1,,,,15206
1475157122,40.4507,-79.9515,2,,,,15213
1475165737,40.4569,-79.9165,1,,,,15206
1475180365,40.4624,-79.9378,3,,,,15232
1475184079,40.4389,-79.9291,1,,,,15217
1475196322,40.4047,-79.9428,1,,,,15207
1475196964,40.4409,-79.9969,2,Rotten,,,15222
1475200423,40.4636,-79.9399,1,,,,15224
1475201125,40.4773,-79.954,1,,,,15201
1475241744,40.4479,-79.9156,1,,,,15206
1475245052,40.4558,-79.9796,3,Diesel,,,15222
1475245068,40.449,-79.9357,1,,,,15232
1475251227,40.4408,-79.9931,3,Uncombusted diesel producte,Headache; irritated eyed and throat,The buses and trucks downtown are terribly polluting near BNY Tower and County Courthouse. ,15219
1475251489,40.4401,-79.9907,4,Tar and construction vehicle diesel on lower hill construction site,Nasal irritation ,Can construction vehicles do something to lessen the smell?,15219
1475251519,40.443,-79.9901,4,Tar and construction vehicle diesel on lower hill construction site,Nasal irritation ,Can construction vehicles do something to lessen the smell?,15219
1475258847,40.4312,-79.8927,1,,,,15218
1475265319,40.4445,-79.9482,3,Nail polish ,,,15213
1475265326,40.4455,-79.9472,3,Nail polish,,,15213
1475282091,40.4752,-79.9326,2,,,,15201
1475284385,40.4351,-79.896,4,Diesel,"Sore throat, migraine ",This is from a generator for a film production. Sitting in front of my house. On going tv project hatbis in and out of neighborhood for months. ,15218
1475284644,40.4299,-79.8997,4,Diesel,"Sore throat, migraine ",This is from a generator for a film production. Sitting in front of my house. On going tv project hatbis in and out of neighborhood for months. ,15218
1475328163,40.4489,-79.9167,1,,,,15206
1475337522,40.4534,-79.9817,1,,,,15222
1475339757,40.4401,-79.9961,2,"Industrial, acrid",,,15219
1475340100,40.4419,-79.9449,3,Metallic smell,Nasal discomfort ,,15213
1475340517,40.4635,-79.9534,2,Gasoline,,,15224
1475340720,40.4777,-79.9447,1,,,,15201
1475346916,40.439,-79.9593,2,Industrial,,,15213
1475348999,40.442,-79.9526,2,,,,15260
1475359232,40.4862,-79.9447,1,,,,15201
1475363991,40.4745,-79.9664,3,Factory battery like,,,15201
1475364199,40.431,-79.9241,3,Industrial,,,15217
1475402363,40.4765,-79.9198,3,"Acrid, chemical smell ",Mild headache ,Please fine the polluters ,15206
1475406028,40.4251,-79.9026,3,Industrial,,,15218
1475410506,40.4705,-79.9149,4,Industrial pollution,,I'm worried that it's not safe to be outside; even for my dog. ,15206
1475410546,40.4487,-79.9153,3,Coal smoke,,,15206
1475413834,40.4468,-79.9161,4,"Industrial, coal like",Headache ,,15206
1475447947,40.4719,-79.9329,3,Gasoline,,,15224
1475456423,40.4711,-79.9578,2,,,,15201
1475497383,40.4649,-79.9449,2,,,,15224
1475501486,40.4636,-79.9599,2,No smell it's a test of the app,,,15224
1475511302,40.4469,-79.9504,1,Testing,,,15213
1475514927,40.4404,-79.9971,3,Strong diesel and sewer gas smells,Nasal discomfort,,15219
1475537426,40.4697,-79.963,3,,,,15201
1475544698,40.4689,-79.9171,3,Rotten eggs,,,15206
1475549662,40.4244,-79.89,1,,,,15218
1475551712,40.4531,-79.9434,1,,,,15213
1475582667,40.4468,-79.914,1,,,,15206
1475585270,40.4367,-79.9714,3,Burning rubber,,,15213
1475591856,40.4271,-79.9287,3,,,,15217
1475595359,40.4519,-79.9097,1,,,,15208
1475610358,40.4386,-79.9848,3,Strong diesel and asphalt smells,Nasal discomfort,,15219
1475618429,40.4398,-80.0029,3,Sewage,,,15222
1475623179,40.4585,-79.9216,3,Rotten cabbage,,,15206
1475664871,40.4308,-79.9261,1,,,,15217
1475670640,40.4533,-79.9317,1,,,,15232
1475682281,40.4436,-80.0015,2,sulfur. winds SSE,,,15222
1475682324,40.4416,-79.9986,2,sulfur. winds SSE ,,,15222
1475686794,40.4522,-79.9069,2,Exhaust,,,15208
1475699236,40.4432,-79.9879,3,Industrial emissions,Headache ,,15219
1475749891,40.4225,-79.9264,3,,,,15217
1475752326,40.4336,-79.9281,4,"Industrial, smells like coal burning",,,15217
1475753237,40.4425,-79.9343,3,Industrial --the coke works,,,15217
1475754015,40.431400000000004,-79.9234,3,,,,15217
1475756079,40.4408,-79.9908,4,Tar-like industrial smell and diesel ,Headache; nasal irritation,,15219
1475763204,40.4486,-79.9846,3,Rotten eggs,,Smells like this all the time in the Strip.,15222
1475768684,40.4395,-79.9942,4,Tar-like industrial smell and diesel ,Headache; nasal irritation,,15219
1475768824,40.4399,-79.997,3,Diesel from buses,Nasal irritation,,15219
1475768833,40.4412,-79.9947,3,Diesel from buses,Nasal irritation,,15219
1475778019,40.4464,-79.9465,5,Excessive concrete dust from concrete cutting by construction crew at ellsworth and aiken,"Eye irritation, held breath so as not to breath dust.  Visual impairment for autos",,15213
1475779934,40.4739,-79.9603,4,Industrial burning? Chemicals,,Worse near mconway and torley,15201
1475794889,40.4233,-79.892,1,,,,15218
1475800593,40.4774,-79.9066,2,,,,15206
1475804403,40.4259,-79.9383,3,Chemical,,,15207
1475841979,40.4413,-79.9867,3,Tar-like industrial chemical ,Nasal irritation,,15219
1475841987,40.4454,-79.9907,3,Tar-like industrial chemical ,Nasal irritation,,15219
1475850157,40.4503,-79.9342,2,,,,15232
1475857689,40.4333,-79.9121,1,,,,15217
1475861131,40.4651,-79.96,1,None,No,Great job guys!!!!,15201
1475866328,40.4624,-79.9258,3,Rotten eggs,,,15206
1475866478,40.4225,-79.9229,2,slightly metallic,,,15217
1475866782,40.4432,-79.9444,3,,,,15213
1475867507,40.4449,-79.9507,4,Industrial. Sulfur. ,Yes,,15213
1475875446,40.475,-79.9207,4,Industrial stink.. very chemical strong smell,"Mild headache, some congestion.",Foul odor that developed quickly from 4:30 to 5:30pm.  Rain came in and smell decreased.,15206
1475877306,40.4698,-79.9575,4,"Garbage truck, rot",,"This was a pickup morning, but it still smells 12 hours later. ",15201
1475879191,40.4883,-79.9223,3,Sulfur like smell across Morningside.,,,15206
1475879751,40.4562,-79.9812,4,Coal stink,,,15222
1475881655,40.4278,-79.92530000000001,1,,,,15217
1475917314,40.4508,-79.9097,5,,,,15208
1475929368,40.4717,-79.9635,4,,,,15201
1476135816,40.4294,-79.9158,1,A clean day in sq hill,,,15217
1476139743,40.4419,-79.9573,3,Thick toxic. It doesn't smell like air I should be breathing,"Cough, lung congestion",,15213
1476186540,40.422,-79.9242,2,"sour, mild industrial. High VOC readings on Awair device.",,,15217
1476191867,40.4514,-79.9058,2,,,,15208
1476202690,40.454,-79.9814,3,Acrid like coal.,,,15222
1476203053,40.4404,-79.9869,4,Strong tar-like chemical odor,"Headache, nasal irritation ",,15219
1476204560,40.441,-79.999,3,sulfur industrial.  SE wind ,,,15222
1476204821,40.4237,-79.9217,3,Industrial,,,15217
1476205204,40.449,-79.9238,1,,,,15232
1476224196,40.4196,-79.8862,3,Sewege ,No,,15218
1476233738,40.4222,-79.9237,3,"sooty, smoky, industrial. ",,,15217
1476276462,40.4469,-79.9174,3,Definite industrial stink in the air. Acrid. Coal.,,,15206
1476277337,40.4216,-79.9243,3,"sooty, smoky, industrial smell. VOC's over 500 ppb this morning!",tickle in throat ,,15217
1476277956,40.4702,-79.9146,4,Industrial or sulfer,,,15206
1476278873,40.4573,-79.9125,3,Industrial rubbery,,,15206
1476279645,40.4536,-79.9065,4,,,,15208
1476279810,40.4804,-79.933,4,Smells like a chemical in the air,,This is an ongoing issue in Morningside and Stanton Heights.  ,15206
1476282423,40.4406,-79.9319,4,Industrial,,,15217
1476284059,40.4421,-79.9958,3,Exhaust fumes,Scratchy throat ,,15222
1476284348,40.4285,-79.8829,3,Clairton coke works,,"County airport reports light winds from SSW. Surface inversion temperature 8.0C, strong.",15218
1476312401,40.425,-79.899,3,Woodsmoke + chemical ,,,15218
1476313209,40.4588,-79.9211,2,Woodsmoke,,,15206
1476325415,40.4799,-79.9216,4,Industrial coke ovens,Nose irritation,,15206
1476325907,40.4231,-79.925,4,"acrid, industrial, coking has smell",,,15217
1476327101,40.4487,-79.9175,3,Woodsmoke,,,15206
1476341991,40.4497,-79.9096,4,,,,15208
1476363077,40.4338,-79.9587,3,Sweet industrial.,,,15213
1476366527,40.4526,-79.9835,4,"Rotten-eggs, sulfur",,Just another day in the Strip District on 22nd and Smallman!,15222
1476377249,40.4404,-79.9961,3,Diesel emissions ,"Headache, nasal irritation ",,15219
1476377796,40.4379,-80.0014,3,Sewer gas,Eye irritation. Nasal discomfort ,,15222
1476378732,40.4072,-79.9428,3,Garbage? Natural gas? ,,,15207
1476381529,40.4378,-80.0026,3,Industrial chemical smell,Eye irritation. Nasal discomfort ,,15222
1476384421,40.4744,-79.9595,2,"metallic, caustic",,,15201
1476390151,40.4058,-79.9417,3,Natural gas? ,,,15207
1476397791,40.4768,-79.9573,4,Burning rubber smell,,,15201
1476401312,40.472,-79.9564,3,Metal chemically ,,It's mconway and torley,15201
1476404164,40.4243,-79.8954,3,Burning wood,No,,15218
1476448035,40.4733,-79.9624,4,Mcconway Torley,Metallic smell and taste,,15201
1476448057,40.4741,-79.9639,4,Mcconway Torley,Metallic smell and taste,,15201
1476448372,40.4705,-79.9596,4,burning chemical smell,,,15201
1476448947,40.4741,-79.9625,3,"Industrial, caustic, like the foundry",,,15201
1476449433,40.4678,-79.9629,3,Kind of electrical. Bitter almost. ,,,15201
1476449464,40.4694,-79.9603,3,Kind of electrical. Bitter almost. ,,,15201
1476449930,40.4787,-79.9181,3,"Stinks of bittersweet, cloying, repulsive sewage odor",,,15206
1476452638,40.44,-79.9973,3,Sewage smell,,,15219
1476460701,40.4729,-79.9629,3,Mcconway Torley,Metallic smell and taste,2nd time today,15201
1476463175,40.4413,-79.9961,3,Rotten eggs,,,15219
1476464762,40.4398,-79.9902,3,Diesel emissions,Nasal discomfort ,,15219
1476489925,40.4491,-79.9154,3,Woodsmoke,,,15206
1476535170,40.4227,-79.924,2,"industrial smell, sooty and acrid",,,15217
1476537273,40.4389,-79.9969,3,Gasoline smell from construction work ,,,15219
1476539745,40.4422,-79.9417,3,industrial. acrid. ,,,15213
1476541757,40.4396,-79.9972,5,Rotten eggs,,,15219
1476543237,40.4423,-79.9319,3,Industrial,,,15217
1476545173,40.4484,-79.8977,3,sewage,,,15208
1476545186,40.4473,-79.8985,3,sewage,,,15208
1476546899,40.4232,-79.8934,3,Industrial,,,15218
1476547049,40.4269,-79.8821,3,Coal/Coke smell pretty strong.,,,15218
1476547220,40.4528,-79.9037,3,,,,15208
1476548743,40.4484,-79.9141,4,Industrial smoke,Unpleasant,,15206
1476550051,40.4206,-79.9262,3,"acrid, industrial",,,15217
1476550243,40.4351,-79.9576,3,Diesel emissions,Nasal discomfort; headache,,15213
1476553346,40.4258,-79.9122,3,"sour, industrial",,,15217
1476580894,40.4215,-79.9187,3,,,,15217
1476583199,40.4238,-79.9429,4,industrial,,,15207
1476584195,40.4252,-79.9398,3,,,,15207
1476588782,40.4237,-79.8953,1,,,,15218
1476589616,40.4557,-79.933,3,,,,15232
1476590871,40.4473,-79.8962,3,sewage,,,15208
1476618946,40.4245,-79.9258,3,"acrid, industrial Clairton Coke Works smell. VOC's are high on Awair here 500+ppb, and AIRNow shows and orange blob over Clairton. This whole week has been awful!",,,15217
1476622560,40.4357,-79.9246,4,Industrial burning,Scratchy throat,This is a frequent smell in greenfield ,15217
1476626198,40.4289,-79.8677,3,Edgar Thompson,,,15221
1476635722,40.4489,-79.9142,3,"Industrial, thick, heavy.",,,15206
1476655841,40.4399,-79.9083,3,gas,,,15217
1476672033,40.4215,-79.9258,4,sulfur. rotten eggs. very strong.,,,15217
1476672212,40.4244,-79.8933,3,Industrial,,,15218
1476674990,40.4269,-79.9383,3,,,,15207
1476707449,40.4263,-79.9489,2,eggs or gas,,,15207
1476707723,40.4283,-79.9504,3,"chemical, eggs?",,Smell happens often on this trail. not sure what it is but reminds me of 1980s pgh,15213
1476707849,40.4302,-79.9558,1,,,,15213
1476724398,40.4444,-79.9897,3,Tar like chemical smell,Eye irritation; nasal discomfort ,,15219
1476883087,40.4342,-79.9824,5,"Industrial, burning, rubber, smoke",,,15219
